➤ python -m src.preliminary.edit.perlogic_delta_batch --lr 5e-05 --out_root /sfs/weka/scratch/vjd5zr/project/ReasonEdit/results/output/perlogic --resume ckpts/contrastive_00045.pt
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 16.07it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 16.02it/s]
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:631: UserWarning: `do_sample` is set to `False`. However, `temperature` is set to `0.7` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `temperature`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:636: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.8` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:653: UserWarning: `do_sample` is set to `False`. However, `top_k` is set to `20` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_k`.
  warnings.warn(
Resumed from ckpts/contrastive_00045.pt (iter=?), missing=0 unexpected=0
Loaded model with trainable LoRA parameters:
trainable params: 3,686,400 || all params: 3,089,625,088 || trainable%: 0.1193
Loaded 600 (train, eval) pairs.

Starting sequential training…
[   2/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7900
[   4/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7900
[   6/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7901
[   8/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7901
[  10/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7900
[  12/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7904
[  14/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7901
[  16/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  18/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[  20/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  22/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[  24/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[  26/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7898
[  28/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7900
[  30/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7900
[  32/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7904
[  34/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[  36/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  38/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  40/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  42/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  44/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7905
[  46/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7904
[  48/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[  50/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7901
[  52/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[  54/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7900
[  56/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  58/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7900
[  60/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[  62/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[  64/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[  66/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7901
[  68/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7904
[  70/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  72/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  74/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[  76/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7901
[  78/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7906
[  80/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  82/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  84/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7905
[  86/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7907
[  88/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[  90/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7904
[  92/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[  94/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7904
[  96/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7901
[  98/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7901
[ 100/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[ 102/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7904
[ 104/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[ 106/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[ 108/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7905
[ 110/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[ 112/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[ 114/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7903
[ 116/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[ 118/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7902
[ 120/600]  gen_acc=1.000  loc_acc=0.444  loss=0.7905
[ 122/600]  gen_acc=0.984  loc_acc=0.446  loss=0.8648
[ 124/600]  gen_acc=0.968  loc_acc=0.448  loss=0.8608
[ 126/600]  gen_acc=0.952  loc_acc=0.450  loss=0.8592
[ 128/600]  gen_acc=0.938  loc_acc=0.451  loss=0.8606
[ 130/600]  gen_acc=0.923  loc_acc=0.453  loss=0.8624
[ 132/600]  gen_acc=0.909  loc_acc=0.455  loss=0.8643
[ 134/600]  gen_acc=0.896  loc_acc=0.456  loss=0.8657
[ 136/600]  gen_acc=0.882  loc_acc=0.458  loss=0.8665
[ 138/600]  gen_acc=0.870  loc_acc=0.459  loss=0.8674
[ 140/600]  gen_acc=0.857  loc_acc=0.460  loss=0.8678
[ 142/600]  gen_acc=0.845  loc_acc=0.462  loss=0.8682
[ 144/600]  gen_acc=0.833  loc_acc=0.463  loss=0.8685
[ 146/600]  gen_acc=0.822  loc_acc=0.464  loss=0.8681
