➤ python -m src.preliminary.edit.perlogic_delta_batch --lr 2e-05 --out_root /sfs/weka/scratch/vjd5zr/project/ReasonEdit/results/output/perlogic
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:02<00:02,  2.28s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:03<00:00,  1.72s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:03<00:00,  1.80s/it]
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:631: UserWarning: `do_sample` is set to `False`. However, `temperature` is set to `0.7` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `temperature`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:636: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.8` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:653: UserWarning: `do_sample` is set to `False`. However, `top_k` is set to `20` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_k`.
  warnings.warn(
Loaded model with trainable LoRA parameters:
trainable params: 3,686,400 || all params: 3,089,625,088 || trainable%: 0.1193
Loaded 600 (train, eval) pairs.

Starting sequential training…
[   2/600]  gen_acc=1.000  loc_acc=0.667  loss=0.8839
[   4/600]  gen_acc=0.750  loc_acc=0.694  loss=0.8818
[   6/600]  gen_acc=0.833  loc_acc=0.722  loss=0.8970
[   8/600]  gen_acc=0.875  loc_acc=0.708  loss=0.8869
[  10/600]  gen_acc=0.900  loc_acc=0.711  loss=0.8733
[  12/600]  gen_acc=0.917  loc_acc=0.713  loss=0.8867
[  14/600]  gen_acc=0.857  loc_acc=0.730  loss=0.8624
[  16/600]  gen_acc=0.812  loc_acc=0.729  loss=0.8875
[  18/600]  gen_acc=0.778  loc_acc=0.741  loss=0.8725
[  20/600]  gen_acc=0.800  loc_acc=0.761  loss=0.8696
[  22/600]  gen_acc=0.773  loc_acc=0.753  loss=0.8627
[  24/600]  gen_acc=0.750  loc_acc=0.755  loss=0.8885
[  26/600]  gen_acc=0.731  loc_acc=0.761  loss=0.8590
[  28/600]  gen_acc=0.714  loc_acc=0.754  loss=0.8803
[  30/600]  gen_acc=0.700  loc_acc=0.770  loss=0.8786
[  32/600]  gen_acc=0.688  loc_acc=0.774  loss=0.8843
[  34/600]  gen_acc=0.706  loc_acc=0.765  loss=0.8756
[  36/600]  gen_acc=0.694  loc_acc=0.765  loss=0.8741
[  38/600]  gen_acc=0.711  loc_acc=0.754  loss=0.9061
[  40/600]  gen_acc=0.700  loc_acc=0.753  loss=0.8808
[  42/600]  gen_acc=0.714  loc_acc=0.749  loss=0.8749
[  44/600]  gen_acc=0.727  loc_acc=0.747  loss=0.8883
[  46/600]  gen_acc=0.739  loc_acc=0.739  loss=0.8711
[  48/600]  gen_acc=0.729  loc_acc=0.729  loss=0.8914
[  50/600]  gen_acc=0.740  loc_acc=0.740  loss=0.8820
[  52/600]  gen_acc=0.731  loc_acc=0.744  loss=0.8816
[  54/600]  gen_acc=0.741  loc_acc=0.743  loss=0.8820
[  56/600]  gen_acc=0.750  loc_acc=0.738  loss=0.8847
[  58/600]  gen_acc=0.741  loc_acc=0.741  loss=0.8742
[  60/600]  gen_acc=0.750  loc_acc=0.735  loss=0.8926
[  62/600]  gen_acc=0.758  loc_acc=0.738  loss=0.8278
[  64/600]  gen_acc=0.766  loc_acc=0.738  loss=0.8228
[  66/600]  gen_acc=0.773  loc_acc=0.732  loss=0.8062
[  68/600]  gen_acc=0.779  loc_acc=0.730  loss=0.8440
[  70/600]  gen_acc=0.786  loc_acc=0.729  loss=0.8352
[  72/600]  gen_acc=0.792  loc_acc=0.733  loss=0.8255
[  74/600]  gen_acc=0.797  loc_acc=0.733  loss=0.8353
[  76/600]  gen_acc=0.803  loc_acc=0.727  loss=0.8238
[  78/600]  gen_acc=0.808  loc_acc=0.724  loss=0.8159
[  80/600]  gen_acc=0.812  loc_acc=0.724  loss=0.8292
[  82/600]  gen_acc=0.817  loc_acc=0.721  loss=0.8410
[  84/600]  gen_acc=0.821  loc_acc=0.721  loss=0.8310
[  86/600]  gen_acc=0.826  loc_acc=0.717  loss=0.8209
[  88/600]  gen_acc=0.830  loc_acc=0.715  loss=0.8211
[  90/600]  gen_acc=0.833  loc_acc=0.716  loss=0.8292
[  92/600]  gen_acc=0.837  loc_acc=0.711  loss=0.8264
[  94/600]  gen_acc=0.840  loc_acc=0.710  loss=0.8192
[  96/600]  gen_acc=0.844  loc_acc=0.704  loss=0.8223
[  98/600]  gen_acc=0.847  loc_acc=0.703  loss=0.8361
[ 100/600]  gen_acc=0.850  loc_acc=0.700  loss=0.8382
[ 102/600]  gen_acc=0.853  loc_acc=0.699  loss=0.8314
[ 104/600]  gen_acc=0.837  loc_acc=0.700  loss=0.8142
[ 106/600]  gen_acc=0.840  loc_acc=0.699  loss=0.8192
[ 108/600]  gen_acc=0.843  loc_acc=0.698  loss=0.8288
[ 110/600]  gen_acc=0.845  loc_acc=0.695  loss=0.8323
[ 112/600]  gen_acc=0.848  loc_acc=0.696  loss=0.8413
[ 114/600]  gen_acc=0.851  loc_acc=0.696  loss=0.8439
[ 116/600]  gen_acc=0.853  loc_acc=0.697  loss=0.8301
[ 118/600]  gen_acc=0.856  loc_acc=0.692  loss=0.8421
[ 120/600]  gen_acc=0.858  loc_acc=0.688  loss=0.8248
[ 122/600]  gen_acc=0.861  loc_acc=0.690  loss=0.5850
[ 124/600]  gen_acc=0.847  loc_acc=0.690  loss=0.5887
[ 126/600]  gen_acc=0.849  loc_acc=0.693  loss=0.5772
[ 128/600]  gen_acc=0.844  loc_acc=0.690  loss=0.5902
[ 130/600]  gen_acc=0.838  loc_acc=0.686  loss=0.5811
[ 132/600]  gen_acc=0.833  loc_acc=0.688  loss=0.5769
[ 134/600]  gen_acc=0.828  loc_acc=0.687  loss=0.5917
[ 136/600]  gen_acc=0.831  loc_acc=0.688  loss=0.5819
[ 138/600]  gen_acc=0.826  loc_acc=0.689  loss=0.6013
[ 140/600]  gen_acc=0.814  loc_acc=0.690  loss=0.5896
[ 142/600]  gen_acc=0.810  loc_acc=0.690  loss=0.5969
[ 144/600]  gen_acc=0.806  loc_acc=0.692  loss=0.5799
[ 146/600]  gen_acc=0.808  loc_acc=0.693  loss=0.5978
