➤ python -m src.preliminary.edit.perlogic_delta_batch --lr 5e-05 --out_root /sfs/weka/scratch/vjd5zr/project/ReasonEdit/results/output/perlogic --resume ckpts/reptile_ns_00045.pt
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.46it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.87it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.80it/s]
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:631: UserWarning: `do_sample` is set to `False`. However, `temperature` is set to `0.7` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `temperature`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:636: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.8` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:653: UserWarning: `do_sample` is set to `False`. However, `top_k` is set to `20` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_k`.
  warnings.warn(
Resumed from ckpts/reptile_ns_00045.pt (iter=45), missing=0 unexpected=0
Loaded model with trainable LoRA parameters:
trainable params: 3,686,400 || all params: 3,089,625,088 || trainable%: 0.1193
Loaded 600 (train, eval) pairs.

Starting sequential training…
[   2/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[   4/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[   6/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[   8/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  10/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  12/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  14/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  16/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  18/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  20/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  22/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  24/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  26/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  28/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  30/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  32/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  34/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  36/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  38/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  40/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  42/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  44/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  46/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  48/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  50/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  52/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  54/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  56/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  58/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  60/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  62/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  64/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  66/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  68/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  70/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  72/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  74/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  76/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  78/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  80/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  82/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  84/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  86/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  88/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  90/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  92/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  94/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  96/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[  98/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 100/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 102/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 104/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 106/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 108/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 110/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 112/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 114/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 116/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 118/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 120/600]  gen_acc=1.000  loc_acc=0.444  loss=nan
[ 122/600]  gen_acc=0.984  loc_acc=0.446  loss=nan
[ 124/600]  gen_acc=0.968  loc_acc=0.448  loss=nan
[ 126/600]  gen_acc=0.952  loc_acc=0.450  loss=nan
[ 128/600]  gen_acc=0.938  loc_acc=0.451  loss=nan
[ 130/600]  gen_acc=0.923  loc_acc=0.453  loss=nan
[ 132/600]  gen_acc=0.909  loc_acc=0.455  loss=nan
[ 134/600]  gen_acc=0.896  loc_acc=0.456  loss=nan
[ 136/600]  gen_acc=0.882  loc_acc=0.458  loss=nan
[ 138/600]  gen_acc=0.870  loc_acc=0.459  loss=nan
[ 140/600]  gen_acc=0.857  loc_acc=0.460  loss=nan
[ 142/600]  gen_acc=0.845  loc_acc=0.462  loss=nan
[ 144/600]  gen_acc=0.833  loc_acc=0.463  loss=nan
[ 146/600]  gen_acc=0.822  loc_acc=0.464  loss=nan
[ 148/600]  gen_acc=0.811  loc_acc=0.465  loss=nan
[ 150/600]  gen_acc=0.800  loc_acc=0.467  loss=nan
[ 152/600]  gen_acc=0.789  loc_acc=0.468  loss=nan
