➤ python -m src.preliminary.edit.perlogic_delta_batch --lr 5e-05 --out_root /sfs/weka/scratch/vjd5zr/project/ReasonEdit/results/output/perlogic --resume ckpts/reptile_ns_00045.pt
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 21.66it/s]
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:631: UserWarning: `do_sample` is set to `False`. However, `temperature` is set to `0.7` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `temperature`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:636: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.8` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:653: UserWarning: `do_sample` is set to `False`. However, `top_k` is set to `20` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_k`.
  warnings.warn(
Resumed from ckpts/reptile_ns_00045.pt (iter=45), missing=0 unexpected=0
Loaded model with trainable LoRA parameters:
trainable params: 3,686,400 || all params: 3,089,625,088 || trainable%: 0.1193
Loaded 600 (train, eval) pairs.

Starting sequential training…
[   2/600]  gen_acc=1.000  loc_acc=0.611  loss=0.8321
[   4/600]  gen_acc=1.000  loc_acc=0.528  loss=0.8386
[   6/600]  gen_acc=1.000  loc_acc=0.556  loss=0.8205
[   8/600]  gen_acc=1.000  loc_acc=0.542  loss=0.8317
[  10/600]  gen_acc=0.900  loc_acc=0.533  loss=0.8242
[  12/600]  gen_acc=0.917  loc_acc=0.519  loss=0.8358
[  14/600]  gen_acc=0.857  loc_acc=0.540  loss=0.8209
[  16/600]  gen_acc=0.875  loc_acc=0.535  loss=0.8462
[  18/600]  gen_acc=0.889  loc_acc=0.537  loss=0.8186
[  20/600]  gen_acc=0.850  loc_acc=0.544  loss=0.8343
[  22/600]  gen_acc=0.864  loc_acc=0.545  loss=0.8314
[  24/600]  gen_acc=0.792  loc_acc=0.556  loss=0.8505
[  26/600]  gen_acc=0.769  loc_acc=0.560  loss=0.8237
[  28/600]  gen_acc=0.750  loc_acc=0.560  loss=0.8310
[  30/600]  gen_acc=0.767  loc_acc=0.567  loss=0.8363
[  32/600]  gen_acc=0.750  loc_acc=0.562  loss=0.8218
[  34/600]  gen_acc=0.765  loc_acc=0.562  loss=0.8284
[  36/600]  gen_acc=0.750  loc_acc=0.562  loss=0.8245
[  38/600]  gen_acc=0.763  loc_acc=0.558  loss=0.8313
[  40/600]  gen_acc=0.750  loc_acc=0.558  loss=0.8268
[  42/600]  gen_acc=0.738  loc_acc=0.556  loss=0.8250
[  44/600]  gen_acc=0.750  loc_acc=0.553  loss=0.8268
[  46/600]  gen_acc=0.761  loc_acc=0.551  loss=0.8304
[  48/600]  gen_acc=0.771  loc_acc=0.546  loss=0.8310
[  50/600]  gen_acc=0.780  loc_acc=0.551  loss=0.8342
[  52/600]  gen_acc=0.788  loc_acc=0.547  loss=0.8204
[  54/600]  gen_acc=0.796  loc_acc=0.549  loss=0.8467
[  56/600]  gen_acc=0.786  loc_acc=0.546  loss=0.8408
[  58/600]  gen_acc=0.793  loc_acc=0.548  loss=0.8272
[  60/600]  gen_acc=0.800  loc_acc=0.552  loss=0.8380
[  62/600]  gen_acc=0.806  loc_acc=0.556  loss=0.7969
[  64/600]  gen_acc=0.812  loc_acc=0.554  loss=0.7627
[  66/600]  gen_acc=0.818  loc_acc=0.557  loss=0.7544
[  68/600]  gen_acc=0.824  loc_acc=0.557  loss=0.7709
[  70/600]  gen_acc=0.829  loc_acc=0.556  loss=0.7787
[  72/600]  gen_acc=0.833  loc_acc=0.556  loss=0.7713
[  74/600]  gen_acc=0.838  loc_acc=0.557  loss=0.7643
[  76/600]  gen_acc=0.829  loc_acc=0.553  loss=0.7723
[  78/600]  gen_acc=0.833  loc_acc=0.553  loss=0.7715
[  80/600]  gen_acc=0.838  loc_acc=0.551  loss=0.7842
[  82/600]  gen_acc=0.841  loc_acc=0.550  loss=0.7821
[  84/600]  gen_acc=0.845  loc_acc=0.554  loss=0.7872
[  86/600]  gen_acc=0.849  loc_acc=0.552  loss=0.7817
[  88/600]  gen_acc=0.852  loc_acc=0.553  loss=0.7778
[  90/600]  gen_acc=0.856  loc_acc=0.553  loss=0.7998
[  92/600]  gen_acc=0.859  loc_acc=0.556  loss=0.7926
[  94/600]  gen_acc=0.862  loc_acc=0.556  loss=0.7891
[  96/600]  gen_acc=0.865  loc_acc=0.551  loss=0.7915
[  98/600]  gen_acc=0.867  loc_acc=0.551  loss=0.8097
[ 100/600]  gen_acc=0.870  loc_acc=0.552  loss=0.8038
[ 102/600]  gen_acc=0.873  loc_acc=0.552  loss=0.7833
[ 104/600]  gen_acc=0.856  loc_acc=0.551  loss=0.7752
[ 106/600]  gen_acc=0.858  loc_acc=0.552  loss=0.7874
[ 108/600]  gen_acc=0.861  loc_acc=0.553  loss=0.8183
[ 110/600]  gen_acc=0.864  loc_acc=0.549  loss=0.7993
[ 112/600]  gen_acc=0.866  loc_acc=0.549  loss=0.7996
[ 114/600]  gen_acc=0.868  loc_acc=0.548  loss=0.8041
[ 116/600]  gen_acc=0.871  loc_acc=0.548  loss=0.7901
[ 118/600]  gen_acc=0.873  loc_acc=0.546  loss=0.7980
[ 120/600]  gen_acc=0.875  loc_acc=0.544  loss=0.7942
[ 122/600]  gen_acc=0.869  loc_acc=0.543  loss=0.5395
[ 124/600]  gen_acc=0.855  loc_acc=0.547  loss=0.5344
[ 126/600]  gen_acc=0.849  loc_acc=0.548  loss=0.5350
[ 128/600]  gen_acc=0.836  loc_acc=0.545  loss=0.5372
[ 130/600]  gen_acc=0.831  loc_acc=0.544  loss=0.5276
[ 132/600]  gen_acc=0.826  loc_acc=0.547  loss=0.5493
[ 134/600]  gen_acc=0.821  loc_acc=0.549  loss=0.5399
[ 136/600]  gen_acc=0.816  loc_acc=0.549  loss=0.5430
[ 138/600]  gen_acc=0.812  loc_acc=0.551  loss=0.5475
[ 140/600]  gen_acc=0.807  loc_acc=0.551  loss=0.5383
[ 142/600]  gen_acc=0.803  loc_acc=0.550  loss=0.5440
[ 144/600]  gen_acc=0.799  loc_acc=0.549  loss=0.5374
[ 146/600]  gen_acc=0.795  loc_acc=0.550  loss=0.5543
[ 148/600]  gen_acc=0.797  loc_acc=0.547  loss=0.5404
